resample_index,profile_index,geometric_mean_speedup,minimum_cell_speedup,improved_cell_count,movement_weight,compute_weight,coordination_weight,B_host_dpu_weight,B_mram_wram_weight,I_dpu_weight,N_sync_weight,E_num_weight,P_wram_weight,selected_path_ids_json
279,9,2.2439834485486245,1.0,7,0.5414741851996391,0.45232358896253566,0.006202225837825213,0.27073709259981954,0.27073709259981954,0.45232358896253566,0.006202225837825213,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1"",""quantization_stress_18q_l2:4dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1""}"
280,9,2.2277390910563684,1.0,7,0.5414741851996391,0.45232358896253566,0.006202225837825213,0.27073709259981954,0.27073709259981954,0.45232358896253566,0.006202225837825213,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1"",""quantization_stress_18q_l2:4dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1""}"
281,4,2.2226416080093014,1.0,7,0.22063680206282787,0.7768451800394555,0.002518017897716659,0.11031840103141394,0.11031840103141394,0.7768451800394555,0.002518017897716659,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}"
282,8,2.287382209441161,1.0163179096347865,8,0.3715322706836804,0.40507521716230527,0.2233925121540143,0.1857661353418402,0.1857661353418402,0.40507521716230527,0.2233925121540143,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1"",""quantization_stress_18q_l2:4dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1""}"
283,5,2.2492884006081217,1.0,6,0.024368166273412584,0.9754242110524387,0.00020762267414873057,0.012184083136706292,0.012184083136706292,0.9754242110524387,0.00020762267414873057,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}"
284,3,2.2994801239268177,1.041845644222677,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}"
285,5,2.236257953647742,1.0,6,0.024368166273412584,0.9754242110524387,0.00020762267414873057,0.012184083136706292,0.012184083136706292,0.9754242110524387,0.00020762267414873057,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}"
286,4,2.2508784726280093,1.0,7,0.22063680206282787,0.7768451800394555,0.002518017897716659,0.11031840103141394,0.11031840103141394,0.7768451800394555,0.002518017897716659,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}"
287,8,2.289356084870325,1.041845644222677,8,0.3715322706836804,0.40507521716230527,0.2233925121540143,0.1857661353418402,0.1857661353418402,0.40507521716230527,0.2233925121540143,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1"",""quantization_stress_18q_l2:4dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1""}"
288,9,2.2301820613439656,1.0,7,0.5414741851996391,0.45232358896253566,0.006202225837825213,0.27073709259981954,0.27073709259981954,0.45232358896253566,0.006202225837825213,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1"",""quantization_stress_18q_l2:4dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1""}"
289,5,2.2448192554037063,1.0,6,0.024368166273412584,0.9754242110524387,0.00020762267414873057,0.012184083136706292,0.012184083136706292,0.9754242110524387,0.00020762267414873057,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}"
290,3,2.289692167321976,0.997529052435953,7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}"
291,10,2.2231889020837783,1.0,6,0.47630996810097936,0.518889877536195,0.004800154362825642,0.23815498405048968,0.23815498405048968,0.518889877536195,0.004800154362825642,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""quantization_stress_18q_l2:1dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1"",""quantization_stress_18q_l2:4dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1""}"
292,5,2.237239292562005,1.0,6,0.024368166273412584,0.9754242110524387,0.00020762267414873057,0.012184083136706292,0.012184083136706292,0.9754242110524387,0.00020762267414873057,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}"
293,10,2.225357262360358,1.0,6,0.47630996810097936,0.518889877536195,0.004800154362825642,0.23815498405048968,0.23815498405048968,0.518889877536195,0.004800154362825642,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""quantization_stress_18q_l2:1dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1"",""quantization_stress_18q_l2:4dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1""}"
294,5,2.2424807792396146,1.0,6,0.024368166273412584,0.9754242110524387,0.00020762267414873057,0.012184083136706292,0.012184083136706292,0.9754242110524387,0.00020762267414873057,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}"
295,5,2.2294066826656316,1.0,6,0.024368166273412584,0.9754242110524387,0.00020762267414873057,0.012184083136706292,0.012184083136706292,0.9754242110524387,0.00020762267414873057,0.0,0.0,"{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}"
